Transaction_ID,Product_ID,Customer_ID,Total_Cost,Discount_Rate,Sales_Channel,Order_Priority,Warehouse_Code,Ship_Mode,Delivery_Status,Customer_Satisfaction,Item_Returned,Return_Reason,Payment_Type,Taxable,Region,Country
875,550,1048,4446.708505624851,0.05,Reseller,High,WH-1,2-Day,Delivered,Unsatisfied,True,Wrong Item,Wire Transfer,True,West,Canada
932,501,1003,3876.6737049585863,0.05,Partner,Medium,WH-3,2-Day,Delivered,Neutral,False,Unknown,Credit Card,False,South,USA
336,553,1011,8853.637048945504,0.2,Partner,Low,WH-1,Express,Pending,Neutral,True,Damaged,PayPal,True,North,USA
881,522,1049,5096.553818483975,0.2,Partner,Low,WH-2,Regular,Pending,Neutral,False,Damaged,Wire Transfer,False,North,USA
322,512,1075,2925.695550750819,0.0,Reseller,Medium,WH-2,2-Day,Delivered,Neutral,False,Damaged,Credit Card,True,North,Canada
980,552,1062,5982.612282685112,0.2,Online,Critical,WH-2,Regular,Cancelled,Satisfied,True,Damaged,Cash,True,South,Mexico
374,560,1070,4253.975325986898,0.1,Reseller,High,WH-1,Regular,Cancelled,Unsatisfied,False,Damaged,Cash,True,West,USA
54,519,1026,6625.079861479777,0.05,Online,Low,WH-1,Express,Pending,Neutral,False,Wrong Item,Cash,False,East,Canada
997,516,1097,1274.9617933079762,0.1,Direct,Critical,WH-3,Express,Delivered,Neutral,True,Late,PayPal,False,South,Canada
169,560,1099,597.7027113890742,0.05,Reseller,Low,WH-1,Overnight,Pending,Neutral,False,Late,Credit Card,True,North,Canada
427,556,1069,6089.346099339957,0.05,Online,High,WH-3,2-Day,Delivered,Unsatisfied,True,Late,Wire Transfer,False,South,Canada
801,535,1059,5096.553818483975,0.2,Direct,Critical,WH-1,Overnight,Backorder,Unsatisfied,True,Late,Wire Transfer,False,West,USA
592,502,1008,6520.260197772526,0.05,Online,Medium,WH-1,Express,Delivered,Satisfied,False,Damaged,PayPal,False,North,Mexico
764,522,1062,1261.7741897150763,0.1,Reseller,Medium,WH-2,2-Day,Pending,Unsatisfied,False,Wrong Item,PayPal,False,North,Mexico
853,503,1093,9486.723453533194,0.1,Partner,Medium,WH-1,Regular,Delivered,Unsatisfied,False,Not Specified,PayPal,False,West,USA
211,524,1018,3481.841726892759,0.05,Online,High,WH-2,2-Day,Cancelled,Satisfied,False,Damaged,Credit Card,False,East,USA
493,520,1038,1983.9143253406933,0.0,Online,Low,WH-3,Express,Delivered,Satisfied,True,Not Specified,Credit Card,False,South,Canada
930,556,1017,9919.561370360172,0.05,Partner,Low,WH-3,Regular,Pending,Neutral,False,Not Specified,Wire Transfer,True,East,Canada
916,508,1005,1829.8800788567476,0.0,Direct,Medium,WH-1,Overnight,Backorder,Satisfied,False,Late,Wire Transfer,False,South,Canada
701,515,1002,7684.411018513126,0.05,Partner,Low,WH-1,Express,Backorder,Unsatisfied,True,Wrong Item,Wire Transfer,False,South,USA
88,514,1052,5096.553818483975,0.15,Partner,Medium,WH-3,2-Day,Cancelled,Neutral,False,Late,Credit Card,True,East,USA
937,506,1073,6140.916003462796,0.0,Online,Low,WH-1,Express,Cancelled,Satisfied,False,Wrong Item,Cash,False,West,Mexico
364,521,1097,5098.195438839339,0.0,Online,Critical,WH-1,Regular,Backorder,Neutral,True,Not Specified,PayPal,False,South,Canada
885,544,1059,2750.777942018873,0.1,Online,Low,WH-2,Regular,Cancelled,Neutral,True,Late,PayPal,False,West,USA
462,530,1011,1962.04909459085,0.15,Reseller,High,WH-2,Express,Pending,Satisfied,False,Late,Wire Transfer,False,North,USA
301,547,1040,5018.163822309079,0.15,Partner,Medium,WH-3,2-Day,Backorder,Satisfied,False,Damaged,Cash,True,South,Canada
886,502,1037,1421.173874171535,0.0,Online,Medium,WH-3,Regular,Cancelled,Satisfied,True,Unknown,Wire Transfer,False,West,Canada
528,531,1061,8545.42863207505,0.2,Partner,High,WH-1,Express,Cancelled,Satisfied,True,Late,Cash,False,West,Mexico
569,526,1083,5857.235884178425,0.1,Direct,Low,WH-1,Regular,Cancelled,Unsatisfied,True,Not Specified,Cash,True,West,USA
787,560,1016,1318.255321104963,0.2,Online,High,WH-2,Regular,Backorder,Unsatisfied,True,Wrong Item,PayPal,False,South,USA
762,554,1047,6072.927223694795,0.15,Online,Medium,WH-1,Express,Cancelled,Unsatisfied,True,Damaged,PayPal,True,South,Mexico
120,515,1008,5262.118623944429,0.15,Partner,Low,WH-2,2-Day,Cancelled,Unsatisfied,True,Unknown,Wire Transfer,False,North,Mexico
614,506,1023,622.5259630004916,0.0,Direct,High,WH-3,2-Day,Pending,Unsatisfied,False,Unknown,Wire Transfer,True,North,Canada
938,522,1068,5968.137572080779,0.15,Direct,Low,WH-1,Regular,Cancelled,Neutral,True,Not Specified,Credit Card,False,South,Mexico
460,510,1041,8151.60712834987,0.05,Partner,High,WH-3,Regular,Delivered,Neutral,False,Damaged,Cash,True,West,Mexico
217,521,1083,5096.553818483975,0.15,Direct,Low,WH-3,Overnight,Cancelled,Unsatisfied,True,Unknown,Credit Card,False,East,USA
10,538,1063,1802.91063745106,0.05,Online,High,WH-3,Regular,Backorder,Unsatisfied,True,Not Specified,Wire Transfer,False,South,Mexico
51,535,1095,5893.409520345019,0.0,Partner,Low,WH-1,Express,Cancelled,Satisfied,False,Not Specified,Credit Card,True,South,Canada
688,521,1098,2304.3932963468287,0.0,Partner,Critical,WH-2,2-Day,Delivered,Unsatisfied,True,Late,PayPal,True,North,Canada
243,532,1055,8109.3166538319665,0.05,Reseller,Critical,WH-3,Regular,Delivered,Neutral,False,Damaged,Credit Card,False,South,USA
961,557,1079,3237.7529966155303,0.2,Online,Low,WH-2,Regular,Cancelled,Satisfied,True,Unknown,Credit Card,False,East,Mexico
265,552,1075,4596.7217630198,0.05,Direct,Critical,WH-3,2-Day,Cancelled,Satisfied,True,Unknown,PayPal,False,West,Canada
525,529,1086,1696.5743656039035,0.05,Reseller,Critical,WH-2,Express,Delivered,Unsatisfied,True,Wrong Item,Credit Card,True,West,USA
967,523,1018,6055.864207405013,0.15,Partner,Low,WH-3,Overnight,Delivered,Neutral,True,Late,Credit Card,False,North,Canada
245,516,1003,5980.145120760652,0.1,Direct,Critical,WH-1,Express,Pending,Neutral,True,Late,Credit Card,False,East,USA
346,537,1026,6536.436390188143,0.2,Partner,Critical,WH-2,Overnight,Delivered,Satisfied,False,Damaged,Wire Transfer,False,South,USA
390,506,1057,2221.2411509757867,0.0,Online,Low,WH-2,2-Day,Delivered,Unsatisfied,False,Wrong Item,Wire Transfer,True,South,USA
133,527,1051,6279.035250073831,0.2,Reseller,High,WH-1,Overnight,Pending,Unsatisfied,True,Damaged,Cash,True,West,USA
159,549,1056,6308.904306643778,0.0,Direct,Medium,WH-3,Overnight,Delivered,Unsatisfied,True,Not Specified,Cash,False,North,Mexico
378,551,1051,8151.585408936801,0.15,Reseller,Low,WH-2,2-Day,Delivered,Satisfied,False,Wrong Item,PayPal,True,South,USA
458,510,1078,2032.98990468964,0.15,Partner,Low,WH-2,Overnight,Cancelled,Neutral,False,Not Specified,PayPal,True,West,USA
653,510,1009,6382.1409859754485,0.0,Online,Critical,WH-3,Regular,Backorder,Neutral,True,Late,Cash,True,West,USA
831,539,1025,985.9269533937776,0.05,Direct,Medium,WH-1,Regular,Backorder,Satisfied,False,Late,Cash,False,North,Canada
626,507,1020,1402.1701146695768,0.1,Partner,Critical,WH-1,Overnight,Cancelled,Satisfied,False,Wrong Item,Wire Transfer,False,South,Mexico
431,502,1038,3114.7722198515785,0.05,Reseller,Low,WH-1,Express,Cancelled,Satisfied,False,Damaged,Credit Card,True,North,USA
923,528,1099,6916.832430696043,0.15,Direct,Critical,WH-3,2-Day,Pending,Neutral,False,Not Specified,PayPal,True,South,Canada
315,542,1095,3869.328947358287,0.05,Partner,Critical,WH-3,2-Day,Delivered,Satisfied,True,Not Specified,Credit Card,False,East,Canada
526,557,1092,9801.939773455848,0.0,Reseller,Critical,WH-2,Overnight,Delivered,Satisfied,False,Wrong Item,Cash,False,West,USA
667,526,1070,1317.3054918129606,0.2,Partner,Medium,WH-2,2-Day,Pending,Neutral,True,Late,Cash,False,East,Canada
311,526,1024,6321.560437596849,0.0,Reseller,High,WH-3,Express,Backorder,Unsatisfied,False,Not Specified,Cash,False,South,Mexico
627,525,1011,3491.7252235945093,0.0,Direct,Medium,WH-1,Overnight,Cancelled,Satisfied,False,Wrong Item,Cash,False,North,Canada
908,530,1054,7443.268284873524,0.0,Online,Medium,WH-1,Express,Pending,Neutral,True,Wrong Item,Credit Card,False,South,Mexico
553,538,1047,3653.729294990532,0.1,Partner,High,WH-3,2-Day,Delivered,Neutral,True,Wrong Item,PayPal,True,West,USA
724,518,1033,4699.317498845673,0.15,Reseller,Medium,WH-2,2-Day,Backorder,Satisfied,False,Late,Credit Card,True,South,USA
498,537,1034,5989.166977385305,0.0,Partner,Low,WH-2,2-Day,Pending,Unsatisfied,True,Damaged,Credit Card,True,West,Mexico
331,536,1022,1989.720700509654,0.2,Online,High,WH-1,Overnight,Delivered,Unsatisfied,False,Unknown,Wire Transfer,False,South,Canada
45,540,1004,4812.9041563971405,0.05,Reseller,High,WH-1,Regular,Delivered,Neutral,False,Wrong Item,Cash,True,West,Mexico
327,558,1035,5096.553818483975,0.15,Online,Low,WH-1,Overnight,Cancelled,Neutral,False,Late,PayPal,False,North,Canada
555,547,1092,629.9829402264705,0.2,Reseller,High,WH-1,Regular,Backorder,Neutral,False,Late,Wire Transfer,True,North,Canada
565,530,1003,9670.375874488798,0.15,Reseller,Critical,WH-3,2-Day,Delivered,Unsatisfied,True,Unknown,Credit Card,True,South,USA
574,512,1092,3739.106428637804,0.15,Reseller,High,WH-1,Regular,Pending,Neutral,True,Wrong Item,Wire Transfer,True,North,Mexico
890,534,1039,5695.824321862031,0.0,Partner,High,WH-1,Express,Cancelled,Neutral,True,Wrong Item,Cash,True,West,Canada
449,523,1068,1293.4866894601782,0.1,Direct,Low,WH-3,Overnight,Backorder,Satisfied,True,Wrong Item,Credit Card,False,North,Canada
509,505,1070,9377.113868157694,0.1,Reseller,Medium,WH-1,2-Day,Cancelled,Neutral,False,Late,Wire Transfer,True,East,Mexico
735,544,1073,4313.886901345911,0.0,Reseller,High,WH-1,Express,Cancelled,Neutral,False,Not Specified,Wire Transfer,False,East,Mexico
684,544,1031,7437.106318693867,0.2,Reseller,Critical,WH-2,Regular,Pending,Unsatisfied,False,Damaged,Cash,True,North,Canada
71,536,1014,5096.553818483975,0.2,Online,Medium,WH-3,Regular,Pending,Unsatisfied,False,Damaged,PayPal,True,East,Canada
730,525,1062,9568.376324158702,0.1,Reseller,Medium,WH-1,Express,Backorder,Unsatisfied,True,Damaged,PayPal,False,South,Canada
124,511,1025,4662.696825859272,0.0,Reseller,High,WH-1,Express,Delivered,Neutral,False,Wrong Item,Wire Transfer,True,West,Mexico
931,544,1088,2478.996205080921,0.05,Reseller,High,WH-2,Express,Cancelled,Unsatisfied,False,Wrong Item,PayPal,True,South,USA
882,506,1088,7422.234700247725,0.0,Reseller,Low,WH-2,Regular,Backorder,Satisfied,False,Damaged,Credit Card,True,West,USA
624,524,1047,4192.900304827193,0.0,Partner,High,WH-1,Express,Cancelled,Unsatisfied,True,Late,Wire Transfer,False,East,Canada
546,550,1030,6256.971189074742,0.2,Partner,Medium,WH-3,Regular,Delivered,Satisfied,True,Late,PayPal,False,South,Mexico
755,545,1059,1862.9598416711904,0.1,Reseller,Medium,WH-1,2-Day,Backorder,Satisfied,False,Late,Credit Card,False,North,USA
591,528,1092,6787.428558582983,0.1,Direct,Critical,WH-2,Overnight,Backorder,Unsatisfied,True,Unknown,Wire Transfer,False,East,Canada
990,530,1033,2387.123480525355,0.05,Direct,High,WH-3,Overnight,Pending,Neutral,False,Not Specified,Credit Card,True,South,Canada
122,529,1004,831.6597502341262,0.0,Reseller,Medium,WH-3,Overnight,Backorder,Unsatisfied,False,Wrong Item,Cash,False,North,USA
873,538,1037,4402.493694996312,0.2,Direct,High,WH-1,Express,Delivered,Unsatisfied,True,Wrong Item,Wire Transfer,True,South,Canada
620,519,1060,1308.0356621477904,0.1,Direct,Low,WH-2,Overnight,Cancelled,Unsatisfied,False,Late,PayPal,True,East,Mexico
372,544,1039,9794.370477040138,0.15,Partner,Critical,WH-3,Express,Cancelled,Unsatisfied,True,Not Specified,Credit Card,False,West,Mexico
354,551,1072,8332.479417243216,0.1,Online,Low,WH-3,2-Day,Cancelled,Neutral,True,Wrong Item,PayPal,False,South,Mexico
697,525,1092,7170.02081408103,0.0,Partner,High,WH-1,Express,Cancelled,Satisfied,False,Unknown,Cash,True,West,USA
829,542,1093,2421.792517002935,0.0,Online,Medium,WH-1,Overnight,Delivered,Neutral,True,Wrong Item,Credit Card,True,West,USA
583,531,1088,8025.816350615923,0.0,Reseller,Medium,WH-2,Overnight,Cancelled,Neutral,True,Not Specified,Credit Card,True,South,Mexico
125,552,1067,8472.213752312837,0.0,Reseller,High,WH-1,2-Day,Pending,Neutral,True,Not Specified,Credit Card,False,East,Mexico
128,547,1027,4765.868295336196,0.15,Direct,Critical,WH-1,2-Day,Pending,Satisfied,True,Not Specified,Wire Transfer,True,North,USA
887,538,1061,5096.553818483975,0.2,Direct,Medium,WH-3,2-Day,Delivered,Unsatisfied,False,Damaged,Cash,False,West,Canada
789,510,1017,3163.180149238419,0.0,Reseller,Low,WH-3,Express,Pending,Neutral,True,Not Specified,Wire Transfer,False,East,USA
709,504,1021,4089.472530408273,0.0,Partner,Critical,WH-1,Overnight,Pending,Unsatisfied,True,Damaged,PayPal,True,East,Canada
70,532,1085,1858.5106653244009,0.15,Online,Low,WH-1,Regular,Delivered,Satisfied,True,Late,PayPal,False,South,Canada
618,541,1036,5874.577030826247,0.2,Direct,High,WH-3,Overnight,Cancelled,Neutral,True,Wrong Item,Credit Card,True,South,Canada
262,530,1057,9843.888461879798,0.1,Reseller,High,WH-1,Regular,Pending,Satisfied,False,Wrong Item,Wire Transfer,True,East,USA
426,514,1027,882.451028587705,0.1,Direct,Low,WH-3,2-Day,Delivered,Satisfied,True,Damaged,Wire Transfer,True,North,USA
777,516,1082,4351.516838821972,0.0,Online,Medium,WH-2,Overnight,Pending,Unsatisfied,False,Damaged,Cash,False,South,USA
840,504,1042,1175.978949340143,0.1,Online,Critical,WH-2,2-Day,Cancelled,Neutral,True,Not Specified,Cash,True,East,USA
48,560,1032,2365.982550784165,0.2,Partner,Critical,WH-2,2-Day,Backorder,Neutral,False,Late,Credit Card,True,South,USA
594,506,1035,654.3127104898101,0.15,Online,Critical,WH-3,Regular,Pending,Neutral,True,Wrong Item,Wire Transfer,False,East,Mexico
605,541,1014,1482.6240911745922,0.0,Partner,High,WH-3,Overnight,Backorder,Unsatisfied,False,Not Specified,Credit Card,False,West,Mexico
379,532,1072,9494.184324576288,0.1,Direct,Medium,WH-1,2-Day,Delivered,Neutral,False,Unknown,PayPal,True,West,Mexico
643,549,1024,1765.4942792979723,0.0,Partner,High,WH-2,Express,Delivered,Unsatisfied,True,Not Specified,Cash,False,East,Mexico
518,550,1085,5096.553818483975,0.15,Reseller,Critical,WH-2,2-Day,Cancelled,Neutral,False,Late,Cash,True,West,USA
976,515,1081,9017.459255455597,0.15,Direct,Low,WH-3,Overnight,Pending,Unsatisfied,False,Not Specified,Wire Transfer,False,East,Mexico
884,523,1012,4234.8977301931445,0.2,Reseller,Critical,WH-3,Overnight,Pending,Unsatisfied,False,Late,Cash,False,North,USA
472,554,1001,2337.635758086584,0.2,Direct,High,WH-1,Overnight,Backorder,Neutral,True,Late,Wire Transfer,True,North,Mexico
969,504,1037,2156.8880375592453,0.05,Online,Low,WH-1,Overnight,Delivered,Satisfied,True,Late,Credit Card,False,North,USA
706,519,1036,1644.2497299673716,0.15,Partner,High,WH-3,2-Day,Cancelled,Satisfied,False,Late,Cash,True,North,Mexico
630,501,1087,9879.693506505686,0.0,Online,Critical,WH-1,Overnight,Pending,Unsatisfied,True,Wrong Item,Wire Transfer,False,South,Mexico
38,532,1085,5179.406172156327,0.0,Direct,Low,WH-3,2-Day,Delivered,Satisfied,False,Damaged,PayPal,False,West,USA
135,517,1021,2148.212478372709,0.15,Direct,Medium,WH-2,2-Day,Pending,Unsatisfied,False,Not Specified,Cash,False,South,Mexico
774,542,1070,2182.9584706149426,0.15,Direct,Critical,WH-3,Express,Cancelled,Unsatisfied,False,Damaged,Wire Transfer,True,West,USA
152,501,1090,2727.043200109389,0.0,Reseller,Low,WH-3,Overnight,Pending,Neutral,False,Wrong Item,PayPal,True,South,Canada
507,553,1071,8580.458016143602,0.1,Direct,Medium,WH-3,Regular,Backorder,Unsatisfied,True,Late,Credit Card,False,South,USA
107,558,1034,6170.651560193233,0.1,Partner,High,WH-2,Express,Pending,Neutral,False,Wrong Item,PayPal,True,East,USA
23,532,1006,4855.098529248661,0.0,Direct,High,WH-1,Overnight,Backorder,Neutral,False,Not Specified,PayPal,True,South,Canada
522,534,1084,2903.7502387424056,0.2,Partner,Critical,WH-3,2-Day,Pending,Satisfied,False,Late,PayPal,False,South,Mexico
369,537,1078,873.059435295697,0.0,Direct,Low,WH-2,2-Day,Pending,Satisfied,True,Damaged,PayPal,False,West,USA
527,539,1063,6901.469533565044,0.1,Partner,Low,WH-3,2-Day,Cancelled,Satisfied,False,Late,Wire Transfer,True,South,Canada
413,544,1005,2699.014530770332,0.05,Partner,Medium,WH-2,Overnight,Backorder,Satisfied,False,Not Specified,PayPal,False,North,Canada
704,513,1051,9379.93419713886,0.2,Online,Critical,WH-3,Express,Backorder,Satisfied,False,Wrong Item,Credit Card,False,East,USA
111,546,1077,8361.753996603446,0.15,Partner,Medium,WH-2,Express,Cancelled,Neutral,True,Late,Cash,False,North,USA
968,526,1070,5096.553818483975,0.05,Partner,Low,WH-1,2-Day,Cancelled,Satisfied,False,Unknown,Credit Card,True,West,USA
438,528,1012,4548.151760546192,0.0,Partner,Medium,WH-1,Overnight,Pending,Neutral,False,Wrong Item,PayPal,False,West,Mexico
876,503,1065,728.0479260264442,0.1,Direct,Critical,WH-1,Regular,Delivered,Unsatisfied,True,Not Specified,Wire Transfer,True,East,Mexico
242,546,1024,8352.23520481891,0.1,Online,High,WH-3,Express,Delivered,Unsatisfied,False,Damaged,Cash,True,South,Mexico
256,533,1004,1481.01758431296,0.1,Direct,Low,WH-3,2-Day,Delivered,Unsatisfied,True,Not Specified,PayPal,False,East,Mexico
943,533,1067,2496.0183326673423,0.0,Reseller,Low,WH-2,Express,Delivered,Neutral,True,Wrong Item,Cash,True,South,Canada
844,532,1013,5799.799918770696,0.1,Direct,High,WH-1,Express,Delivered,Neutral,True,Damaged,Wire Transfer,False,South,Canada
221,546,1052,5548.8216847984,0.15,Partner,Medium,WH-2,Overnight,Backorder,Unsatisfied,False,Wrong Item,Cash,True,South,Mexico
179,550,1078,3762.17367068762,0.0,Direct,Critical,WH-1,2-Day,Cancelled,Unsatisfied,False,Wrong Item,PayPal,False,East,Mexico
933,557,1032,6857.580784286234,0.0,Partner,Critical,WH-2,Overnight,Pending,Neutral,False,Damaged,PayPal,True,East,USA
543,560,1049,2577.7819446121225,0.15,Reseller,Critical,WH-1,Overnight,Cancelled,Neutral,False,Damaged,Credit Card,True,South,USA
377,549,1007,6875.384992316773,0.05,Online,High,WH-3,2-Day,Cancelled,Neutral,False,Unknown,Cash,False,North,Canada
584,516,1087,6925.430144790879,0.15,Online,Medium,WH-1,2-Day,Delivered,Unsatisfied,True,Damaged,PayPal,False,South,USA
443,501,1089,8264.400466025749,0.05,Partner,Critical,WH-3,Overnight,Cancelled,Neutral,True,Not Specified,PayPal,True,North,USA
286,506,1037,5080.254939738498,0.15,Online,Low,WH-2,Regular,Backorder,Satisfied,True,Wrong Item,PayPal,True,North,Canada
815,532,1099,2594.632574440118,0.2,Partner,Critical,WH-3,Regular,Delivered,Unsatisfied,False,Damaged,Wire Transfer,True,South,Canada
803,534,1093,6086.00440258147,0.05,Partner,Medium,WH-2,Express,Delivered,Unsatisfied,False,Late,Cash,False,West,Canada
478,547,1021,2684.940662650785,0.05,Direct,Medium,WH-2,Regular,Pending,Satisfied,False,Not Specified,PayPal,False,South,USA
962,509,1038,561.4113990022503,0.0,Direct,Low,WH-1,Overnight,Delivered,Unsatisfied,True,Not Specified,Cash,False,North,Mexico
235,522,1004,8299.319664341838,0.2,Direct,Critical,WH-3,Overnight,Cancelled,Unsatisfied,False,Late,PayPal,True,North,Mexico
693,547,1045,698.8741193539661,0.1,Online,Medium,WH-1,Overnight,Cancelled,Satisfied,True,Wrong Item,Cash,False,East,Mexico
966,552,1090,727.4895200695931,0.0,Direct,Medium,WH-1,Regular,Backorder,Neutral,True,Not Specified,Wire Transfer,False,South,Mexico
940,508,1098,4981.528456425172,0.2,Reseller,Low,WH-3,Overnight,Delivered,Unsatisfied,False,Late,Cash,False,East,USA
170,546,1052,7302.474745800372,0.0,Partner,Low,WH-3,Regular,Delivered,Satisfied,True,Wrong Item,Credit Card,True,South,Canada
883,502,1068,3495.9555610281163,0.2,Direct,Medium,WH-1,2-Day,Pending,Unsatisfied,False,Late,PayPal,False,West,Mexico
842,538,1030,5877.175036434299,0.2,Reseller,Medium,WH-2,Overnight,Pending,Neutral,False,Late,Wire Transfer,False,West,Mexico
108,523,1006,5096.553818483975,0.15,Online,Critical,WH-3,Regular,Backorder,Unsatisfied,False,Not Specified,Cash,True,North,USA
